"","Random_Depths","Damage"
"1",-3.5,0
"2",-0.5,7.16889359259583
"3",-2.5,0
"4",-0.5,11.719127002336
"5",0.5,20.9578786294168
"6",-4.5,0
"7",-2.5,0
"8",-0.5,5.4627608224145
"9",-2.5,0
"10",-2.5,0
"11",0.5,19.1357258090219
"12",-2.5,0
"13",-1.5,-0.501221989741263
"14",-1.5,0.130750869130834
"15",-3.5,0
"16",0.5,17.3030997637315
"17",-3.5,0
"18",-4.5,0
"19",-2.5,0
"20",0.5,16.8248567439225
"21",-0.5,8.48719423615324
"22",-1.5,0.827199350299917
"23",-1.5,1.66337287296553
"24",2.5,38.1903838472415
"25",-1.5,2.83098894836212
"26",-1.5,-1.54623967088013
"27",-2.5,0
"28",-1.5,0.906544191092579
"29",-3.5,0
"30",-3.5,0
"31",1.5,28.4622344641633
"32",0.5,20.4467046422844
"33",-1.5,0.479804150351015
"34",-0.5,8.25039563230395
"35",-4.5,0
"36",-2.5,0
"37",-1.5,3.45327915035025
"38",-3.5,0
"39",-2.5,0
"40",-3.5,0
"41",-3.5,0
"42",-2.5,0
"43",-2.5,0
"44",-2.5,0
"45",-3.5,0
"46",-3.5,0
"47",-3.5,0
"48",-2.5,0
"49",-3.5,0
"50",-0.5,8.41763559373856
"51",-4.5,0
"52",-2.5,0
"53",-0.5,12.3583722093493
"54",-3.5,0
"55",-1.5,-1.74261943216784
"56",-3.5,0
"57",-3.5,0
"58",-1.5,3.99573503278195
"59",-0.5,2.36878256721751
"60",-2.5,0
"61",-1.5,2.77966165797468
"62",-3.5,0
"63",-2.5,0
"64",-3.5,0
"65",-0.5,10.448574428061
"66",-2.5,0
"67",-0.5,7.05721788599524
"68",-0.5,7.17214860391941
"69",-0.5,8.78553799250702
"70",-2.5,0
"71",-1.5,1.47934960869789
"72",-1.5,1.57297210166343
"73",-1.5,3.02390885812875
"74",-4.5,0
"75",-2.5,0
"76",-3.5,0
"77",-2.5,0
"78",-1.5,1.55952121866836
"79",-2.5,0
"80",-3.5,0
"81",-3.5,0
"82",-1.5,-1.53674475089145
"83",-2.5,0
"84",-0.5,8.92824434537771
"85",-3.5,0
"86",-2.5,0
"87",1.5,27.1836310355715
"88",-0.5,9.93084679380212
"89",-0.5,5.89389441098912
"90",-3.5,0
"91",-3.5,0
"92",-1.5,0.911730211384545
"93",-2.5,0
"94",-1.5,-0.826143024358655
"95",-2.5,0
"96",-3.5,0
"97",-0.5,4.46369554128924
"98",-3.5,0
"99",-2.5,0
"100",-2.5,0
"101",-1.5,-1.10539647144014
"102",-2.5,0
"103",-2.5,0
"104",0.5,18.3936242210712
"105",-2.5,0
"106",-0.5,1.50720738164321
"107",0.5,20.6081156469309
"108",-1.5,0.371661383303321
"109",-2.5,0
"110",-3.5,0
"111",0.5,18.3764055611816
"112",-2.5,0
"113",-4.5,0
"114",0.5,20.5065827884139
"115",-1.5,1.65664572652301
"116",-3.5,0
"117",-2.5,0
"118",0.5,19.1090398024142
"119",-1.5,0.390576226173872
"120",-2.5,0
"121",-1.5,-0.497248830155318
"122",-2.5,0
"123",-2.5,0
"124",-3.5,0
"125",-2.5,0
"126",1.5,28.7265172031717
"127",-3.5,0
"128",-3.5,0
"129",-3.5,0
"130",-1.5,0.975942197466505
"131",-1.5,1.24994804656355
"132",-0.5,6.01220259178237
"133",-1.5,0.498442309413651
"134",-1.5,-1.84342712872973
"135",-2.5,0
"136",-1.5,-0.980699198692259
"137",-0.5,4.25756085114639
"138",-0.5,7.52628295718666
"139",1.5,25.9937605367637
"140",-2.5,0
"141",-2.5,0
"142",-2.5,0
"143",-4.5,0
"144",-3.5,0
"145",-0.5,8.86436275089797
"146",-3.5,0
"147",-3.5,0
"148",-4.5,0
"149",-3.5,0
"150",-1.5,1.29756535821107
"151",-0.5,6.77863188870234
"152",-2.5,0
"153",-2.5,0
"154",-3.5,0
"155",-3.5,0
"156",-2.5,0
"157",-1.5,-0.917332814534098
"158",-3.5,0
"159",-2.5,0
"160",-3.5,0
"161",-2.5,0
"162",-2.5,0
"163",-1.5,0.344241255472884
"164",-2.5,0
"165",-2.5,0
"166",-2.5,0
"167",-1.5,2.45517996498018
"168",-3.5,0
"169",-2.5,0
"170",-3.5,0
"171",-1.5,1.89367924825661
"172",-3.5,0
"173",-0.5,7.21711152233734
"174",-1.5,-1.77988447129858
"175",-1.5,0.593629011878679
"176",-1.5,-2.69779302844814
"177",-2.5,0
"178",-2.5,0
"179",-0.5,12.1185303017803
"180",-1.5,1.29551179261941
"181",-0.5,10.913504987902
"182",-2.5,0
"183",-1.5,1.01515279703172
"184",-3.5,0
"185",-1.5,4.05199138820977
"186",-2.5,0
"187",-3.5,0
"188",-1.5,0.0368335214035547
"189",0.5,19.8583825787028
"190",0.5,18.3303014624199
"191",-3.5,0
"192",-2.5,0
"193",1.5,28.8634078530973
"194",-1.5,-0.539062209279126
"195",0.5,22.3786938083095
"196",-2.5,0
"197",-2.5,0
"198",-1.5,1.65828896973423
"199",-3.5,0
"200",-1.5,0.579437482888571
"201",-3.5,0
"202",1.5,25.8020399846989
"203",-1.5,-0.809211207819937
"204",-2.5,0
"205",-2.5,0
"206",-0.5,3.68160782485449
"207",-2.5,0
"208",-3.5,0
"209",-3.5,0
"210",-3.5,0
"211",-2.5,0
"212",-3.5,0
"213",-3.5,0
"214",-1.5,-1.0686788986176
"215",-4.5,0
"216",-1.5,1.30361126712986
"217",-2.5,0
"218",-2.5,0
"219",-0.5,10.5856577030263
"220",0.5,18.9870481897102
"221",-3.5,0
"222",1.5,24.6086480443543
"223",-1.5,1.36576685368938
"224",-1.5,3.27509173171676
"225",-4.5,0
"226",-2.5,0
"227",-2.5,0
"228",-1.5,2.61982870297835
"229",-1.5,3.73927759472634
"230",0.5,19.1052484320687
"231",-1.5,-3.19065739555271
"232",-2.5,0
"233",-2.5,0
"234",-4.5,0
"235",-3.5,0
"236",-2.5,0
"237",-3.5,0
"238",-0.5,9.45960020771829
"239",-3.5,0
"240",-0.5,8.450770052903
"241",-2.5,0
"242",-1.5,-1.06968983138757
"243",-3.5,0
"244",-1.5,1.07253948320154
"245",-2.5,0
"246",-1.5,0.342962713707707
"247",-2.5,0
"248",1.5,26.9904561692113
"249",1.5,28.4540332289461
"250",-1.5,0.450983753090472
"251",-3.5,0
"252",-3.5,0
"253",-1.5,0.369913552118548
"254",-3.5,0
"255",-2.5,0
"256",-0.5,4.52660494603288
"257",-3.5,0
"258",-2.5,0
"259",-2.5,0
"260",-0.5,8.3548688110334
"261",0.5,19.3417379287591
"262",-0.5,9.29354679538557
"263",-1.5,2.85539211943605
"264",0.5,14.0923991329161
"265",-2.5,0
"266",-1.5,1.29485245559175
"267",-2.5,0
"268",-2.5,0
"269",-4.5,0
"270",-2.5,0
"271",-0.5,4.81440044990194
"272",-4.5,0
"273",-4.5,0
"274",-3.5,0
"275",-0.5,9.38064661294829
"276",-1.5,1.35803359438164
"277",1.5,25.9900351640192
"278",-2.5,0
"279",-4.5,0
"280",-1.5,0.740302553336484
"281",-1.5,3.14388891157842
"282",-3.5,0
"283",-2.5,0
"284",-3.5,0
"285",-4.5,0
"286",-2.5,0
"287",-4.5,0
"288",-3.5,0
"289",-4.5,0
"290",-1.5,0.519053372342522
"291",-2.5,0
"292",-3.5,0
"293",-4.5,0
"294",-0.5,3.8964350678536
"295",-1.5,2.72041303067084
"296",-0.5,10.6989444719471
"297",1.5,26.7285492318377
"298",-3.5,0
"299",-3.5,0
"300",-0.5,11.8371887097877
"301",-0.5,7.55971066898164
"302",-4.5,0
"303",-0.5,4.95605537022909
"304",-1.5,0.836844842032371
"305",-1.5,1.59335957399048
"306",-2.5,0
"307",-3.5,0
"308",-4.5,0
"309",-2.5,0
"310",-2.5,0
"311",-2.5,0
"312",-2.5,0
"313",-1.5,2.00933598837736
"314",-4.5,0
"315",-2.5,0
"316",-0.5,8.8550755378171
"317",-0.5,10.8550210131333
"318",-3.5,0
"319",-2.5,0
"320",-0.5,8.49269021111543
"321",-0.5,9.16442162118056
"322",-3.5,0
"323",-3.5,0
"324",-1.5,2.63453183565119
"325",-3.5,0
"326",-4.5,0
"327",4.5,49.8256885212423
"328",-4.5,0
"329",-2.5,0
"330",0.5,16.9251792570073
"331",-1.5,0.869094422505537
"332",-3.5,0
"333",-1.5,-0.55004397269475
"334",-0.5,8.0667879805155
"335",-2.5,0
"336",-2.5,0
"337",-1.5,1.93012666796393
"338",-1.5,-0.163622576940949
"339",-1.5,0.0762148193277967
"340",1.5,25.9265300786521
"341",-2.5,0
"342",-3.5,0
"343",-2.5,0
"344",-3.5,0
"345",-2.5,0
"346",-2.5,0
"347",1.5,27.6352864667922
"348",-2.5,0
"349",-3.5,0
"350",-1.5,3.16237594693476
"351",-3.5,0
"352",1.5,26.687689805678
"353",-2.5,0
"354",-3.5,0
"355",-1.5,0.401446437844648
"356",1.5,27.6594781429849
"357",-1.5,-0.0668930532125909
"358",-2.5,0
"359",-2.5,0
"360",-0.5,10.3351848114855
"361",-3.5,0
"362",-3.5,0
"363",-0.5,7.24051782935348
"364",-2.5,0
"365",-2.5,0
"366",-0.5,10.6079777634476
"367",-3.5,0
"368",-4.5,0
"369",-2.5,0
"370",-2.5,0
"371",-2.5,0
"372",-2.5,0
"373",-0.5,9.45271120859465
"374",-2.5,0
"375",-2.5,0
"376",1.5,28.9719340555461
"377",-0.5,4.4740269795828
"378",-3.5,0
"379",-2.5,0
"380",1.5,25.0109108497979
"381",-1.5,1.32961689113551
"382",-1.5,0.766289573630961
"383",-2.5,0
"384",-0.5,7.15276284250288
"385",-2.5,0
"386",0.5,18.1660437565941
"387",-3.5,0
"388",-3.5,0
"389",-3.5,0
"390",-3.5,0
"391",1.5,30.2609346229004
"392",-3.5,0
"393",-1.5,0.626565902221423
"394",-0.5,6.49858468043194
"395",-3.5,0
"396",-3.5,0
"397",-3.5,0
"398",-3.5,0
"399",-3.5,0
"400",2.5,38.8664763596624
"401",1.5,28.0578487628375
"402",-3.5,0
"403",0.5,18.7863563742514
"404",-1.5,-0.498294146345559
"405",-2.5,0
"406",-2.5,0
"407",-1.5,2.26147622982806
"408",-4.5,0
"409",-2.5,0
"410",-1.5,2.82768477181725
"411",-2.5,0
"412",-0.5,9.62858955329927
"413",-3.5,0
"414",-2.5,0
"415",-3.5,0
"416",-3.5,0
"417",0.5,16.2807786988927
"418",-2.5,0
"419",-2.5,0
"420",-4.5,0
"421",-2.5,0
"422",-1.5,3.20800591451287
"423",-1.5,0.84799257915951
"424",-2.5,0
"425",-0.5,12.2660361889626
"426",-1.5,1.87739958042965
"427",-2.5,0
"428",-2.5,0
"429",-3.5,0
"430",-0.5,8.92825623849685
"431",0.5,21.9638132311839
"432",-1.5,2.88125134767935
"433",-2.5,0
"434",3.5,44.4522765285156
"435",-3.5,0
"436",-1.5,0.188814194092962
"437",-3.5,0
"438",-2.5,0
"439",-3.5,0
"440",-3.5,0
"441",-3.5,0
"442",-1.5,2.46720595517696
"443",-1.5,2.28776603563354
"444",-3.5,0
"445",-0.5,6.74407874112707
"446",-1.5,0.954133117235367
"447",-1.5,0.878556341188594
"448",-3.5,0
"449",-2.5,0
"450",-1.5,-0.969091534543666
"451",-2.5,0
"452",-2.5,0
"453",-3.5,0
"454",-4.5,0
"455",-3.5,0
"456",-0.5,9.54392568864957
"457",-0.5,4.45176769607676
"458",-1.5,1.71636830672077
"459",-3.5,0
"460",-3.5,0
"461",1.5,25.2255240071397
"462",-2.5,0
"463",-2.5,0
"464",-3.5,0
"465",-1.5,2.54115839932125
"466",-3.5,0
"467",-3.5,0
"468",-1.5,2.36021131340154
"469",-3.5,0
"470",-0.5,12.3502767111664
"471",-3.5,0
"472",-0.5,5.16330211836702
"473",-2.5,0
"474",-1.5,2.53911472593443
"475",-1.5,0.95917644198542
"476",-2.5,0
"477",-1.5,1.54154383211062
"478",-4.5,0
"479",-3.5,0
"480",-1.5,0.690878149804261
"481",-3.5,0
"482",-0.5,8.92535873179807
"483",-2.5,0
"484",-1.5,-0.25031551197733
"485",0.5,16.7261639979011
"486",-3.5,0
"487",-3.5,0
"488",-1.5,2.35781938731629
"489",-2.5,0
"490",-0.5,1.16754955628559
"491",1.5,27.2635630966968
"492",-4.5,0
"493",-2.5,0
"494",-1.5,0.65055881620514
"495",-3.5,0
"496",2.5,37.3690688872638
"497",-3.5,0
"498",-4.5,0
"499",-1.5,1.83133878830321
"500",-0.5,4.76749406188257
"501",-2.5,0
"502",-2.5,0
"503",-3.5,0
"504",-4.5,0
"505",-2.5,0
"506",-3.5,0
"507",-2.5,0
"508",-2.5,0
"509",0.5,21.0191846469936
"510",-2.5,0
"511",-2.5,0
"512",-4.5,0
"513",-0.5,10.4309613731276
"514",-2.5,0
"515",-1.5,3.19094245381231
"516",-3.5,0
"517",-2.5,0
"518",-0.5,5.66368543942311
"519",-4.5,0
"520",-0.5,12.4258515778297
"521",-2.5,0
"522",-2.5,0
"523",-2.5,0
"524",-4.5,0
"525",-2.5,0
"526",-1.5,2.87758969502765
"527",0.5,20.4322356868028
"528",-4.5,0
"529",2.5,34.0427055876041
"530",-2.5,0
"531",0.5,18.2275473828535
"532",-1.5,1.5041761357098
"533",-2.5,0
"534",-0.5,4.73400627152552
"535",-4.5,0
"536",-1.5,0.978014875897835
"537",-2.5,0
"538",-0.5,9.7771279312709
"539",-2.5,0
"540",-3.5,0
"541",-0.5,8.69002261026635
"542",-3.5,0
"543",-0.5,8.51697222455474
"544",-3.5,0
"545",-1.5,3.20318801203087
"546",1.5,26.4926008747213
"547",-4.5,0
"548",-0.5,9.81376238760528
"549",-0.5,10.4589287148228
"550",-2.5,0
"551",-2.5,0
"552",-3.5,0
"553",-1.5,-0.514612906760066
"554",-0.5,3.271883564355
"555",-2.5,0
"556",-1.5,2.54677598685416
"557",-1.5,0.91153351726981
"558",-2.5,0
"559",-2.5,0
"560",-4.5,0
"561",-4.5,0
"562",0.5,22.6613623854558
"563",-0.5,8.6987907543476
"564",-3.5,0
"565",-1.5,1.21282770489574
"566",-1.5,-1.08673935216053
"567",-2.5,0
"568",-0.5,6.04791600241239
"569",-2.5,0
"570",-0.5,4.71005531575225
"571",-2.5,0
"572",0.5,23.4777392599334
"573",-1.5,-0.477500878411743
"574",-2.5,0
"575",0.5,19.4685075714096
"576",-1.5,3.06101722729515
"577",-2.5,0
"578",-4.5,0
"579",-1.5,0.812854175149698
"580",-2.5,0
"581",-0.5,8.28930115653758
"582",-0.5,5.4076459577627
"583",-0.5,7.93595324612736
"584",-2.5,0
"585",-0.5,7.10163664239042
"586",-3.5,0
"587",-3.5,0
"588",-1.5,0.232984873425441
"589",1.5,28.6551633383792
"590",-1.5,0.125801849573889
"591",-2.5,0
"592",-4.5,0
"593",1.5,25.2279605188507
"594",-3.5,0
"595",-3.5,0
"596",-0.5,9.88402705777525
"597",-2.5,0
"598",-2.5,0
"599",-0.5,8.4246950769697
"600",-4.5,0
"601",-3.5,0
"602",-1.5,-0.940845186866646
"603",-3.5,0
"604",-2.5,0
"605",-3.5,0
"606",-0.5,6.29601623756833
"607",-3.5,0
"608",-0.5,9.95042833475459
"609",-2.5,0
"610",-2.5,0
"611",-1.5,-0.0966416073886276
"612",-3.5,0
"613",-4.5,0
"614",2.5,37.4173211513859
"615",-1.5,0.80790929358123
"616",-0.5,4.61780095406475
"617",-0.5,9.05638085116872
"618",-1.5,-2.11001987877293
"619",1.5,26.6650562375173
"620",-4.5,0
"621",0.5,18.1952284383548
"622",-0.5,8.53966648964916
"623",-0.5,8.55395864742535
"624",-2.5,0
"625",-4.5,0
"626",-2.5,0
"627",-3.5,0
"628",-0.5,8.21925092639373
"629",-2.5,0
"630",-2.5,0
"631",-1.5,3.1196963493117
"632",-0.5,11.9793824169463
"633",-2.5,0
"634",-1.5,3.7231256437758
"635",-3.5,0
"636",-3.5,0
"637",0.5,15.9896368446979
"638",-1.5,0.161277243929309
"639",-0.5,4.9920976637461
"640",-2.5,0
"641",-1.5,0.68509834400287
"642",-0.5,8.66755036586985
"643",-0.5,8.38959522240769
"644",-2.5,0
"645",-3.5,0
"646",-1.5,0.937890247628524
"647",-1.5,1.04034307397725
"648",-4.5,0
"649",-2.5,0
"650",-1.5,0.685586950428653
"651",-1.5,0.088123028324383
"652",0.5,17.0294352777708
"653",-2.5,0
"654",-1.5,0.130780756736659
"655",-1.5,0.565265044761582
"656",-0.5,4.67282866356777
"657",0.5,20.5691765626217
"658",-4.5,0
"659",-2.5,0
"660",-2.5,0
"661",-0.5,12.5351249276582
"662",-0.5,4.87412176141757
"663",-3.5,0
"664",-1.5,2.94495326208496
"665",-3.5,0
"666",-4.5,0
"667",0.5,18.5538394591136
"668",-3.5,0
"669",-1.5,1.28611863685444
"670",-3.5,0
"671",-4.5,0
"672",-2.5,0
"673",-3.5,0
"674",-3.5,0
"675",-2.5,0
"676",-1.5,1.32891690331413
"677",-0.5,9.02431107855789
"678",-3.5,0
"679",-2.5,0
"680",-2.5,0
"681",-1.5,1.38866343474193
"682",-1.5,0.0877622313508331
"683",-0.5,8.27453484311959
"684",-0.5,10.005168123596
"685",0.5,17.9253628287091
"686",-2.5,0
"687",-2.5,0
"688",-3.5,0
"689",-2.5,0
"690",-3.5,0
"691",-4.5,0
"692",-1.5,-0.402967884732309
"693",-2.5,0
"694",-3.5,0
"695",-3.5,0
"696",-1.5,-0.979258626296571
"697",-3.5,0
"698",-3.5,0
"699",-2.5,0
"700",-2.5,0
"701",-0.5,9.41335824255479
"702",-3.5,0
"703",-4.5,0
"704",-0.5,7.79978493482622
"705",-2.5,0
"706",-1.5,0.449121797333046
"707",-2.5,0
"708",-2.5,0
"709",-3.5,0
"710",-2.5,0
"711",-1.5,1.55456454075544
"712",-2.5,0
"713",-1.5,0.310409446621138
"714",-1.5,1.13880240677373
"715",-2.5,0
"716",-2.5,0
"717",-4.5,0
"718",-4.5,0
"719",2.5,36.5859893412282
"720",-3.5,0
"721",-2.5,0
"722",-1.5,-1.50250551556601
"723",-1.5,-0.0788327129540294
"724",-0.5,4.84415357269588
"725",-1.5,-0.420368306844273
"726",-1.5,3.34587779680151
"727",-0.5,10.7314695182061
"728",-1.5,2.28185295661879
"729",-0.5,7.07865914098247
"730",-4.5,0
"731",-2.5,0
"732",-0.5,10.7336422407949
"733",-1.5,-0.398544239881176
"734",0.5,14.757246715408
"735",-3.5,0
"736",-2.5,0
"737",-0.5,0.836442560904617
"738",2.5,36.4864330254478
"739",-2.5,0
"740",-4.5,0
"741",2.5,36.1620000354131
"742",-3.5,0
"743",-4.5,0
"744",-1.5,0.183376520030646
"745",-2.5,0
"746",-2.5,0
"747",-0.5,9.099522475188
"748",-4.5,0
"749",-1.5,1.30719585480593
"750",0.5,17.8053946067115
"751",-3.5,0
"752",-3.5,0
"753",-3.5,0
"754",-4.5,0
"755",-1.5,2.97019919157353
"756",-2.5,0
"757",-2.5,0
"758",-0.5,11.3338796119961
"759",-4.5,0
"760",-3.5,0
"761",-2.5,0
"762",-3.5,0
"763",-1.5,2.65727424640841
"764",-2.5,0
"765",-1.5,2.05539741916844
"766",-3.5,0
"767",-3.5,0
"768",-2.5,0
"769",-1.5,-0.101978225370899
"770",-1.5,0.914759202863446
"771",0.5,18.270069968079
"772",-0.5,8.30152659111896
"773",-1.5,2.75918306575227
"774",-0.5,4.61424429576435
"775",-3.5,0
"776",-3.5,0
"777",-2.5,0
"778",-2.5,0
"779",-1.5,-0.580085737323706
"780",-0.5,7.80889199398925
"781",-3.5,0
"782",-0.5,4.4933671586586
"783",-4.5,0
"784",-1.5,2.75755305119095
"785",-0.5,7.554855467077
"786",-2.5,0
"787",-3.5,0
"788",-4.5,0
"789",-3.5,0
"790",0.5,13.5029577513913
"791",0.5,17.9207376365337
"792",-2.5,0
"793",-3.5,0
"794",-2.5,0
"795",-0.5,8.44681616140998
"796",-2.5,0
"797",-3.5,0
"798",-3.5,0
"799",-2.5,0
"800",-3.5,0
"801",-2.5,0
"802",-2.5,0
"803",-3.5,0
"804",-4.5,0
"805",-3.5,0
"806",1.5,26.465999043051
"807",-2.5,0
"808",-2.5,0
"809",-1.5,-0.458843036669327
"810",-1.5,1.26758535480847
"811",-4.5,0
"812",-1.5,2.90224540561805
"813",-2.5,0
"814",-0.5,6.82326377746321
"815",-0.5,10.5592261233713
"816",-3.5,0
"817",-3.5,0
"818",-3.5,0
"819",-1.5,3.14162479507163
"820",-1.5,-0.456484547058761
"821",-1.5,2.41857775565561
"822",-2.5,0
"823",-1.5,1.10422623732397
"824",2.5,36.5177952355348
"825",-1.5,3.61951494649279
"826",-4.5,0
"827",-2.5,0
"828",-4.5,0
"829",-2.5,0
"830",-1.5,2.57366835099382
"831",-4.5,0
"832",-0.5,6.81622575654283
"833",-2.5,0
"834",-1.5,-0.776122842158594
"835",-1.5,1.74020377849931
"836",-1.5,1.96222309302996
"837",-1.5,2.88832545708206
"838",-1.5,3.1796877501704
"839",-3.5,0
"840",-3.5,0
"841",1.5,28.0447341644732
"842",-1.5,1.47619654727704
"843",-1.5,1.84497731990676
"844",-3.5,0
"845",-2.5,0
"846",-3.5,0
"847",0.5,20.3002032733204
"848",-4.5,0
"849",-3.5,0
"850",-3.5,0
"851",-2.5,0
"852",-1.5,1.47599681289784
"853",2.5,35.4386105858924
"854",-1.5,-0.17314533700389
"855",-2.5,0
"856",-2.5,0
"857",0.5,18.3745506190432
"858",-3.5,0
"859",-4.5,0
"860",-0.5,7.91409904616201
"861",-2.5,0
"862",-4.5,0
"863",-1.5,1.25056527763649
"864",-2.5,0
"865",-1.5,0.717879988335348
"866",-3.5,0
"867",-3.5,0
"868",-3.5,0
"869",-2.5,0
"870",-2.5,0
"871",-3.5,0
"872",-3.5,0
"873",-1.5,0.452146646011631
"874",-2.5,0
"875",-0.5,10.1260358231373
"876",-1.5,1.05631501458293
"877",-4.5,0
"878",-1.5,3.35402549518459
"879",-0.5,6.11008085396397
"880",-1.5,-1.23932881918307
"881",-3.5,0
"882",0.5,18.0620493679129
"883",-1.5,2.48112436495936
"884",-3.5,0
"885",-1.5,1.04280190270147
"886",0.5,15.5080489560504
"887",-2.5,0
"888",-2.5,0
"889",-3.5,0
"890",-3.5,0
"891",-1.5,0.463394958153351
"892",-1.5,1.19729788280505
"893",-1.5,3.01081375714543
"894",-2.5,0
"895",-0.5,10.5897607292379
"896",-1.5,2.34500676575529
"897",-4.5,0
"898",-2.5,0
"899",-4.5,0
"900",-0.5,9.05774797655381
"901",0.5,16.8855193501734
"902",-2.5,0
"903",-0.5,9.85620769714548
"904",-1.5,2.89484146559532
"905",-1.5,2.25197013587214
"906",-2.5,0
"907",-1.5,2.83833321476991
"908",0.5,18.8973931399691
"909",-0.5,10.3435958958286
"910",-4.5,0
"911",-4.5,0
"912",-4.5,0
"913",-0.5,11.2483861577427
"914",-1.5,-0.0571828619785864
"915",-2.5,0
"916",0.5,21.0844374572895
"917",-1.5,2.28257220440038
"918",-2.5,0
"919",-2.5,0
"920",-2.5,0
"921",-0.5,9.60762363680501
"922",-4.5,0
"923",-2.5,0
"924",-0.5,8.12283725933076
"925",-1.5,-0.0392669100761258
"926",-1.5,-0.437621236629685
"927",-2.5,0
"928",-2.5,0
"929",-3.5,0
"930",-0.5,8.66133804780116
"931",-0.5,7.61081125405287
"932",-3.5,0
"933",-0.5,10.4528199643736
"934",-1.5,1.22796727671153
"935",0.5,17.6820442959801
"936",-3.5,0
"937",-2.5,0
"938",-0.5,11.5017221211695
"939",-0.5,7.32644457675505
"940",-4.5,0
"941",1.5,26.6208638222026
"942",-2.5,0
"943",-2.5,0
"944",-2.5,0
"945",-3.5,0
"946",-3.5,0
"947",-2.5,0
"948",-2.5,0
"949",-2.5,0
"950",-2.5,0
"951",-1.5,2.15660502464555
"952",-3.5,0
"953",0.5,21.0557962950643
"954",-4.5,0
"955",-2.5,0
"956",1.5,26.1370022161075
"957",-1.5,0.881157110170326
"958",-4.5,0
"959",-2.5,0
"960",-2.5,0
"961",-2.5,0
"962",-2.5,0
"963",-1.5,0.783799666611034
"964",-3.5,0
"965",0.5,18.4090305834377
"966",-1.5,1.69709075793558
"967",-2.5,0
"968",-3.5,0
"969",-1.5,2.23559264336633
"970",-2.5,0
"971",-0.5,10.4106025969954
"972",-4.5,0
"973",-0.5,6.23534089983959
"974",-3.5,0
"975",-3.5,0
"976",-1.5,1.2311535420429
"977",0.5,19.7676908785894
"978",-4.5,0
"979",-2.5,0
"980",-2.5,0
"981",-2.5,0
"982",-1.5,0.447455397936124
"983",0.5,19.171373892338
"984",-1.5,3.60464852706879
"985",0.5,15.9334807744401
"986",-1.5,2.22768237519826
"987",-3.5,0
"988",-3.5,0
"989",-3.5,0
"990",-2.5,0
"991",-3.5,0
"992",-3.5,0
"993",-1.5,1.15249382980233
"994",-2.5,0
"995",-1.5,-0.101597557861995
"996",-0.5,8.56878528696346
"997",-1.5,1.18321905906349
"998",-2.5,0
"999",-1.5,-0.132080259439219
"1000",-3.5,0
"1001",-3.5,0
"1002",-1.5,1.27683230826477
"1003",-3.5,0
"1004",-0.5,9.32345240254817
"1005",-0.5,7.4858096134619
"1006",-2.5,0
"1007",-0.5,12.174109835977
"1008",-3.5,0
"1009",-4.5,0
"1010",-2.5,0
"1011",-2.5,0
"1012",-2.5,0
"1013",-3.5,0
"1014",-2.5,0
"1015",-4.5,0
"1016",-0.5,11.6226115602722
"1017",-1.5,0.23579567199167
"1018",-1.5,3.110854616354
"1019",-2.5,0
"1020",-3.5,0
"1021",-2.5,0
"1022",-0.5,10.9144509202712
"1023",-1.5,0.376000509817894
"1024",-2.5,0
"1025",-0.5,11.6368919224081
"1026",-2.5,0
"1027",-1.5,3.49877316976394
"1028",-2.5,0
"1029",-3.5,0
"1030",-1.5,2.09534719622727
"1031",-3.5,0
"1032",-2.5,0
"1033",-2.5,0
"1034",-3.5,0
"1035",-1.5,2.45436788907428
"1036",-2.5,0
"1037",-3.5,0
"1038",-1.5,-0.117030379966025
"1039",-2.5,0
"1040",-2.5,0
"1041",-0.5,12.3306776241415
"1042",-1.5,0.44855469148013
"1043",-2.5,0
"1044",-2.5,0
"1045",-3.5,0
"1046",-4.5,0
"1047",-2.5,0
"1048",-4.5,0
"1049",-0.5,7.10268724457466
"1050",2.5,36.9696703179913
"1051",-1.5,1.38924145387342
"1052",-0.5,11.9052475919974
"1053",-0.5,6.22306324174306
"1054",-2.5,0
"1055",-1.5,0.524028066080256
"1056",-3.5,0
"1057",-1.5,1.60540800959917
"1058",-3.5,0
"1059",-3.5,0
"1060",-1.5,2.01084255571632
"1061",-1.5,5.20401599583378
"1062",-3.5,0
"1063",-2.5,0
"1064",-2.5,0
"1065",-4.5,0
"1066",-1.5,-0.505036019195529
"1067",-2.5,0
"1068",-3.5,0
"1069",1.5,29.4867979010729
"1070",-1.5,2.45093202119399
"1071",-0.5,10.5414245782903
"1072",-0.5,4.96774152178462
"1073",-0.5,8.80514904145059
"1074",-0.5,6.78489280801573
"1075",-1.5,-1.11674786490247
"1076",-1.5,0.0320091390394501
"1077",-3.5,0
"1078",-4.5,0
"1079",-2.5,0
"1080",-2.5,0
"1081",-2.5,0
"1082",-3.5,0
"1083",-2.5,0
"1084",-2.5,0
"1085",-1.5,-0.159376732932535
"1086",-3.5,0
"1087",-3.5,0
"1088",-4.5,0
"1089",-0.5,11.7986297849941
"1090",-2.5,0
"1091",-0.5,6.28681840590142
"1092",-4.5,0
