"","Random_Depths","Damage"
"1",-4,NA
"2",-1,NA
"3",-3,NA
"4",-1,NA
"5",0,NA
"6",-5,NA
"7",-3,NA
"8",-1,NA
"9",-3,NA
"10",-3,NA
"11",0,NA
"12",-3,NA
"13",-2,NA
"14",-2,NA
"15",-4,NA
"16",0,NA
"17",-4,NA
"18",-5,NA
"19",-3,NA
"20",0,NA
"21",-1,NA
"22",-2,NA
"23",-2,NA
"24",2,NA
"25",-2,NA
"26",-2,NA
"27",-3,NA
"28",-2,NA
"29",-4,NA
"30",-4,NA
"31",1,NA
"32",0,NA
"33",-2,NA
"34",-1,NA
"35",-5,NA
"36",-3,NA
"37",-2,NA
"38",-4,NA
"39",-3,NA
"40",-4,NA
"41",-4,NA
"42",-3,NA
"43",-3,NA
"44",-3,NA
"45",-4,NA
"46",-4,NA
"47",-4,NA
"48",-3,NA
"49",-4,NA
"50",-1,NA
"51",-5,NA
"52",-3,NA
"53",-1,NA
"54",-4,NA
"55",-2,NA
"56",-4,NA
"57",-4,NA
"58",-2,NA
"59",-1,NA
"60",-3,NA
"61",-2,NA
"62",-4,NA
"63",-3,NA
"64",-4,NA
"65",-1,NA
"66",-3,NA
"67",-1,NA
"68",-1,NA
"69",-1,NA
"70",-3,NA
"71",-2,NA
"72",-2,NA
"73",-2,NA
"74",-5,NA
"75",-3,NA
"76",-4,NA
"77",-3,NA
"78",-2,NA
"79",-3,NA
"80",-4,NA
"81",-4,NA
"82",-2,NA
"83",-3,NA
"84",-1,NA
"85",-4,NA
"86",-3,NA
"87",1,NA
"88",-1,NA
"89",-1,NA
"90",-4,NA
"91",-4,NA
"92",-2,NA
"93",-3,NA
"94",-2,NA
"95",-3,NA
"96",-4,NA
"97",-1,NA
"98",-4,NA
"99",-3,NA
"100",-3,NA
"101",-2,NA
"102",-3,NA
"103",-3,NA
"104",0,NA
"105",-3,NA
"106",-1,NA
"107",0,NA
"108",-2,NA
"109",-3,NA
"110",-4,NA
"111",0,NA
"112",-3,NA
"113",-5,NA
"114",0,NA
"115",-2,NA
"116",-4,NA
"117",-3,NA
"118",0,NA
"119",-2,NA
"120",-3,NA
"121",-2,NA
"122",-3,NA
"123",-3,NA
"124",-4,NA
"125",-3,NA
"126",1,NA
"127",-4,NA
"128",-4,NA
"129",-4,NA
"130",-2,NA
"131",-2,NA
"132",-1,NA
"133",-2,NA
"134",-2,NA
"135",-3,NA
"136",-2,NA
"137",-1,NA
"138",-1,NA
"139",1,NA
"140",-3,NA
"141",-3,NA
"142",-3,NA
"143",-5,NA
"144",-4,NA
"145",-1,NA
"146",-4,NA
"147",-4,NA
"148",-5,NA
"149",-4,NA
"150",-2,NA
"151",-1,NA
"152",-3,NA
"153",-3,NA
"154",-4,NA
"155",-4,NA
"156",-3,NA
"157",-2,NA
"158",-4,NA
"159",-3,NA
"160",-4,NA
"161",-3,NA
"162",-3,NA
"163",-2,NA
"164",-3,NA
"165",-3,NA
"166",-3,NA
"167",-2,NA
"168",-4,NA
"169",-3,NA
"170",-4,NA
"171",-2,NA
"172",-4,NA
"173",-1,NA
"174",-2,NA
"175",-2,NA
"176",-2,NA
"177",-3,NA
"178",-3,NA
"179",-1,NA
"180",-2,NA
"181",-1,NA
"182",-3,NA
"183",-2,NA
"184",-4,NA
"185",-2,NA
"186",-3,NA
"187",-4,NA
"188",-2,NA
"189",0,NA
"190",0,NA
"191",-4,NA
"192",-3,NA
"193",1,NA
"194",-2,NA
"195",0,NA
"196",-3,NA
"197",-3,NA
"198",-2,NA
"199",-4,NA
"200",-2,NA
"201",-4,NA
"202",1,NA
"203",-2,NA
"204",-3,NA
"205",-3,NA
"206",-1,NA
"207",-3,NA
"208",-4,NA
"209",-4,NA
"210",-4,NA
"211",-3,NA
"212",-4,NA
"213",-4,NA
"214",-2,NA
"215",-5,NA
"216",-2,NA
"217",-3,NA
"218",-3,NA
"219",-1,NA
"220",0,NA
"221",-4,NA
"222",1,NA
"223",-2,NA
"224",-2,NA
"225",-5,NA
"226",-3,NA
"227",-3,NA
"228",-2,NA
"229",-2,NA
"230",0,NA
"231",-2,NA
"232",-3,NA
"233",-3,NA
"234",-5,NA
"235",-4,NA
"236",-3,NA
"237",-4,NA
"238",-1,NA
"239",-4,NA
"240",-1,NA
"241",-3,NA
"242",-2,NA
"243",-4,NA
"244",-2,NA
"245",-3,NA
"246",-2,NA
"247",-3,NA
"248",1,NA
"249",1,NA
"250",-2,NA
"251",-4,NA
"252",-4,NA
"253",-2,NA
"254",-4,NA
"255",-3,NA
"256",-1,NA
"257",-4,NA
"258",-3,NA
"259",-3,NA
"260",-1,NA
"261",0,NA
"262",-1,NA
"263",-2,NA
"264",0,NA
"265",-3,NA
"266",-2,NA
"267",-3,NA
"268",-3,NA
"269",-5,NA
"270",-3,NA
"271",-1,NA
"272",-5,NA
"273",-5,NA
"274",-4,NA
"275",-1,NA
"276",-2,NA
"277",1,NA
"278",-3,NA
"279",-5,NA
"280",-2,NA
"281",-2,NA
"282",-4,NA
"283",-3,NA
"284",-4,NA
"285",-5,NA
"286",-3,NA
"287",-5,NA
"288",-4,NA
"289",-5,NA
"290",-2,NA
"291",-3,NA
"292",-4,NA
"293",-5,NA
"294",-1,NA
"295",-2,NA
"296",-1,NA
"297",1,NA
"298",-4,NA
"299",-4,NA
"300",-1,NA
"301",-1,NA
"302",-5,NA
"303",-1,NA
"304",-2,NA
"305",-2,NA
"306",-3,NA
"307",-4,NA
"308",-5,NA
"309",-3,NA
"310",-3,NA
"311",-3,NA
"312",-3,NA
"313",-2,NA
"314",-5,NA
"315",-3,NA
"316",-1,NA
"317",-1,NA
"318",-4,NA
"319",-3,NA
"320",-1,NA
"321",-1,NA
"322",-4,NA
"323",-4,NA
"324",-2,NA
"325",-4,NA
"326",-5,NA
"327",4,NA
"328",-5,NA
"329",-3,NA
"330",0,NA
"331",-2,NA
"332",-4,NA
"333",-2,NA
"334",-1,NA
"335",-3,NA
"336",-3,NA
"337",-2,NA
"338",-2,NA
"339",-2,NA
"340",1,NA
"341",-3,NA
"342",-4,NA
"343",-3,NA
"344",-4,NA
"345",-3,NA
"346",-3,NA
"347",1,NA
"348",-3,NA
"349",-4,NA
"350",-2,NA
"351",-4,NA
"352",1,NA
"353",-3,NA
"354",-4,NA
"355",-2,NA
"356",1,NA
"357",-2,NA
"358",-3,NA
"359",-3,NA
"360",-1,NA
"361",-4,NA
"362",-4,NA
"363",-1,NA
"364",-3,NA
"365",-3,NA
"366",-1,NA
"367",-4,NA
"368",-5,NA
"369",-3,NA
"370",-3,NA
"371",-3,NA
"372",-3,NA
"373",-1,NA
"374",-3,NA
"375",-3,NA
"376",1,NA
"377",-1,NA
"378",-4,NA
"379",-3,NA
"380",1,NA
"381",-2,NA
"382",-2,NA
"383",-3,NA
"384",-1,NA
"385",-3,NA
"386",0,NA
"387",-4,NA
"388",-4,NA
"389",-4,NA
"390",-4,NA
"391",1,NA
"392",-4,NA
"393",-2,NA
"394",-1,NA
"395",-4,NA
"396",-4,NA
"397",-4,NA
"398",-4,NA
"399",-4,NA
"400",2,NA
"401",1,NA
"402",-4,NA
"403",0,NA
"404",-2,NA
"405",-3,NA
"406",-3,NA
"407",-2,NA
"408",-5,NA
"409",-3,NA
"410",-2,NA
"411",-3,NA
"412",-1,NA
"413",-4,NA
"414",-3,NA
"415",-4,NA
"416",-4,NA
"417",0,NA
"418",-3,NA
"419",-3,NA
"420",-5,NA
"421",-3,NA
"422",-2,NA
"423",-2,NA
"424",-3,NA
"425",-1,NA
"426",-2,NA
"427",-3,NA
"428",-3,NA
"429",-4,NA
"430",-1,NA
"431",0,NA
"432",-2,NA
"433",-3,NA
"434",3,NA
"435",-4,NA
"436",-2,NA
"437",-4,NA
"438",-3,NA
"439",-4,NA
"440",-4,NA
"441",-4,NA
"442",-2,NA
"443",-2,NA
"444",-4,NA
"445",-1,NA
"446",-2,NA
"447",-2,NA
"448",-4,NA
"449",-3,NA
"450",-2,NA
"451",-3,NA
"452",-3,NA
"453",-4,NA
"454",-5,NA
"455",-4,NA
"456",-1,NA
"457",-1,NA
"458",-2,NA
"459",-4,NA
"460",-4,NA
"461",1,NA
"462",-3,NA
"463",-3,NA
"464",-4,NA
"465",-2,NA
"466",-4,NA
"467",-4,NA
"468",-2,NA
"469",-4,NA
"470",-1,NA
"471",-4,NA
"472",-1,NA
"473",-3,NA
"474",-2,NA
"475",-2,NA
"476",-3,NA
"477",-2,NA
"478",-5,NA
"479",-4,NA
"480",-2,NA
"481",-4,NA
"482",-1,NA
"483",-3,NA
"484",-2,NA
"485",0,NA
"486",-4,NA
"487",-4,NA
"488",-2,NA
"489",-3,NA
"490",-1,NA
"491",1,NA
"492",-5,NA
"493",-3,NA
"494",-2,NA
"495",-4,NA
"496",2,NA
"497",-4,NA
"498",-5,NA
"499",-2,NA
"500",-1,NA
"501",-3,NA
"502",-3,NA
"503",-4,NA
"504",-5,NA
"505",-3,NA
"506",-4,NA
"507",-3,NA
"508",-3,NA
"509",0,NA
"510",-3,NA
"511",-3,NA
"512",-5,NA
"513",-1,NA
"514",-3,NA
"515",-2,NA
"516",-4,NA
"517",-3,NA
"518",-1,NA
"519",-5,NA
"520",-1,NA
"521",-3,NA
"522",-3,NA
"523",-3,NA
"524",-5,NA
"525",-3,NA
"526",-2,NA
"527",0,NA
"528",-5,NA
"529",2,NA
"530",-3,NA
"531",0,NA
"532",-2,NA
"533",-3,NA
"534",-1,NA
"535",-5,NA
"536",-2,NA
"537",-3,NA
"538",-1,NA
"539",-3,NA
"540",-4,NA
"541",-1,NA
"542",-4,NA
"543",-1,NA
"544",-4,NA
"545",-2,NA
"546",1,NA
"547",-5,NA
"548",-1,NA
"549",-1,NA
"550",-3,NA
"551",-3,NA
"552",-4,NA
"553",-2,NA
"554",-1,NA
"555",-3,NA
"556",-2,NA
"557",-2,NA
"558",-3,NA
"559",-3,NA
"560",-5,NA
"561",-5,NA
"562",0,NA
"563",-1,NA
"564",-4,NA
"565",-2,NA
"566",-2,NA
"567",-3,NA
"568",-1,NA
"569",-3,NA
"570",-1,NA
"571",-3,NA
"572",0,NA
"573",-2,NA
"574",-3,NA
"575",0,NA
"576",-2,NA
"577",-3,NA
"578",-5,NA
"579",-2,NA
"580",-3,NA
"581",-1,NA
"582",-1,NA
"583",-1,NA
"584",-3,NA
"585",-1,NA
"586",-4,NA
"587",-4,NA
"588",-2,NA
"589",1,NA
"590",-2,NA
"591",-3,NA
"592",-5,NA
"593",1,NA
"594",-4,NA
"595",-4,NA
"596",-1,NA
"597",-3,NA
"598",-3,NA
"599",-1,NA
"600",-5,NA
"601",-4,NA
"602",-2,NA
"603",-4,NA
"604",-3,NA
"605",-4,NA
"606",-1,NA
"607",-4,NA
"608",-1,NA
"609",-3,NA
"610",-3,NA
"611",-2,NA
"612",-4,NA
"613",-5,NA
"614",2,NA
"615",-2,NA
"616",-1,NA
"617",-1,NA
"618",-2,NA
"619",1,NA
"620",-5,NA
"621",0,NA
"622",-1,NA
"623",-1,NA
"624",-3,NA
"625",-5,NA
"626",-3,NA
"627",-4,NA
"628",-1,NA
"629",-3,NA
"630",-3,NA
"631",-2,NA
"632",-1,NA
"633",-3,NA
"634",-2,NA
"635",-4,NA
"636",-4,NA
"637",0,NA
"638",-2,NA
"639",-1,NA
"640",-3,NA
"641",-2,NA
"642",-1,NA
"643",-1,NA
"644",-3,NA
"645",-4,NA
"646",-2,NA
"647",-2,NA
"648",-5,NA
"649",-3,NA
"650",-2,NA
"651",-2,NA
"652",0,NA
"653",-3,NA
"654",-2,NA
"655",-2,NA
"656",-1,NA
"657",0,NA
"658",-5,NA
"659",-3,NA
"660",-3,NA
"661",-1,NA
"662",-1,NA
"663",-4,NA
"664",-2,NA
"665",-4,NA
"666",-5,NA
"667",0,NA
"668",-4,NA
"669",-2,NA
"670",-4,NA
"671",-5,NA
"672",-3,NA
"673",-4,NA
"674",-4,NA
"675",-3,NA
"676",-2,NA
"677",-1,NA
"678",-4,NA
"679",-3,NA
"680",-3,NA
"681",-2,NA
"682",-2,NA
"683",-1,NA
"684",-1,NA
"685",0,NA
"686",-3,NA
"687",-3,NA
"688",-4,NA
"689",-3,NA
"690",-4,NA
"691",-5,NA
"692",-2,NA
"693",-3,NA
"694",-4,NA
"695",-4,NA
"696",-2,NA
"697",-4,NA
"698",-4,NA
"699",-3,NA
"700",-3,NA
"701",-1,NA
"702",-4,NA
"703",-5,NA
"704",-1,NA
"705",-3,NA
"706",-2,NA
"707",-3,NA
"708",-3,NA
"709",-4,NA
"710",-3,NA
"711",-2,NA
"712",-3,NA
"713",-2,NA
"714",-2,NA
"715",-3,NA
"716",-3,NA
"717",-5,NA
"718",-5,NA
"719",2,NA
"720",-4,NA
"721",-3,NA
"722",-2,NA
"723",-2,NA
"724",-1,NA
"725",-2,NA
"726",-2,NA
"727",-1,NA
"728",-2,NA
"729",-1,NA
"730",-5,NA
"731",-3,NA
"732",-1,NA
